date,open,high,low,close,volume,amount,code,name,return,is_extreme,industry,index_hs300,index_zz500,cpi,m2_yoy
2022-08-22,2071.3785924,2087.199933,2050.689147,2075.029671,50415187,857067043.1,2,万科A,0.0023487973217553287,False,房地产,4181.3965,6472.6799,2.7,12.2
2022-08-23,2075.029671,2076.2466972,2027.5656492,2051.9061732,58180137,976410303.98,2,万科A,-0.011206251155816254,False,房地产,4161.0823,6466.4045,2.7,12.2
2022-08-24,2038.518885,2054.3402256,2008.09323,2022.6975444,59417542,993923492.18,2,万科A,-0.01433716314640733,False,房地产,4082.4195,6284.5769,2.7,12.2
2022-08-25,2065.34930622,2086.02864846,2013.65095062,2045.96242287,72552478,1146669783.1,2,万科A,0.011436262661767425,False,房地产,4116.2396,6322.6961,2.7,12.2
2022-08-26,2056.30209399,2076.98143623,2026.57553952,2045.96242287,64160665,1019159031.98,2,万科A,0.0,False,房地产,4107.5455,6298.3739,2.7,12.2
2022-08-29,2034.33029286,2035.62275175,1983.92439615,2012.35849173,67140780,1037789350.91,2,万科A,-0.016560888047013816,False,房地产,4089.5205,6310.402,2.7,12.2
2022-08-30,2003.3112795,2058.88701177,1999.43390283,2053.71717621,59427615,935524155.35,2,万科A,0.02034399470271776,False,房地产,4075.7937,6285.9273,2.7,12.2
2022-08-31,2117.04766182,2164.86864075,2092.49094291,2149.35913407,160465590,2660329681.86,2,万科A,0.04551831265621168,False,房地产,4078.8402,6155.7455,2.7,12.2
2022-09-01,2164.86864075,2223.0292908,2128.67979183,2176.50077076,130830401,2216182160.91,2,万科A,0.012548715609344271,False,房地产,4043.7395,6126.7685,2.5,12.1
2022-09-02,2188.13290077,2190.71781855,2141.60438073,2171.3309352,69680411,1165902392.37,2,万科A,-0.0023781224049673243,False,房地产,4023.6131,6149.4273,2.5,12.1
2022-09-05,2179.08568854,2245.00109193,2160.99126408,2219.15191413,93396757,1594583409.77,2,万科A,0.021784788500170845,False,房地产,4015.4264,6182.6465,2.5,12.1
2022-09-06,2213.98207857,2310.91649532,2210.1047019,2307.03911865,143822394,2529054963.24,2,万科A,0.03883983331626396,False,房地产,4052.2802,6291.5707,2.5,12.1
2022-09-07,2282.48239974,2303.16174198,2248.8784686,2264.38797528,88338610,1550325356.43,2,万科A,-0.018660422717402748,False,房地产,4054.983,6301.5644,2.5,12.1
2022-09-08,2266.97289306,2286.35977641,2229.49158525,2272.14272862,72336234,1264869320.68,2,万科A,0.0034188067487856823,False,房地产,4037.6839,6272.5752,2.5,12.1
2022-09-09,2260.51059861,2376.83189871,2250.17092749,2345.81288535,141202545,2554321936.97,2,万科A,0.03190866845382899,False,房地产,4093.7874,6316.9724,2.5,12.1
2022-09-13,2340.64304979,2397.51124095,2318.67124866,2349.69026202,106021641,1933183138.12,2,万科A,0.0016515280384729392,False,房地产,4111.1145,6300.422,2.5,12.1
2022-09-14,2326.426002,2387.17156983,2305.74665976,2314.79387199,74322985,1342714911.25,2,万科A,-0.014962872676712377,False,房地产,4065.359,6249.963,2.5,12.1
2022-09-15,2339.3505909,2425.94533653,2330.30337867,2391.0489465,150884861,2793462015.01,2,万科A,0.032411516011658925,False,房地产,4027.1186,6107.7964,2.5,12.1
2022-09-16,2371.66206315,2402.68107651,2314.79387199,2326.426002,114495897,2085163457.88,2,万科A,-0.027398974188114388,False,房地产,3932.6826,5954.5037,2.5,12.1
2022-09-19,2330.30337867,2378.1243576,2304.45420087,2349.69026202,82831132,1504824068.21,2,万科A,0.009950330853167872,False,房地产,3928.0001,5913.1493,2.5,12.1
2022-09-20,2349.69026202,2363.90730981,2252.75584527,2269.55781084,100725375,1783024418.87,2,万科A,-0.03469850054236211,False,房地产,3932.8361,5958.2922,2.5,12.1
2022-09-21,2294.11452975,2294.11452975,2237.24633859,2269.55781084,73451537,1290708264.81,2,万科A,0.0,False,房地产,3903.7348,5978.581,2.5,12.1
2022-09-22,2265.68043417,2288.94469419,2224.32174969,2260.51059861,60782030,1055627388.64,2,万科A,-0.003994299176459812,False,房地产,3869.344,5965.8854,2.5,12.1
2022-09-23,2255.34076305,2334.18075534,2247.58600971,2263.09551639,63261813,1122656036.54,2,万科A,0.0011428572672495796,False,房地产,3856.0212,5889.6019,2.5,12.1
2022-09-26,2286.35977641,2336.76567312,2250.17092749,2254.04830416,70104464,1243153965.88,2,万科A,-0.004005727816926852,False,房地产,3836.6773,5806.3181,2.5,12.1
2022-09-27,2246.29355082,2299.28436531,2228.19912636,2274.7276464,58377021,1021378397.68,2,万科A,0.009132483563272474,False,房地产,3892.295,5920.0531,2.5,12.1
2022-09-28,2259.21813972,2300.5768242,2233.36896192,2256.63322194,60084653,1055384380.84,2,万科A,-0.007986351632649933,False,房地产,3828.7098,5769.5198,2.5,12.1
